ID,HCD.1,HCD.2,HCD.3,HCD.BSA.1,HCD.BSA.2,HCD.BSA.3,SD.1,SD.2,SD.3,SD.BSA.1,SD.BSA.2,SD.BSA.3
Acinetobacter radioresistens,0.0,1.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,2.0
Acinetobacter schindleri,3.0,6.0,2.0,5.0,0.0,9.0,8.0,2.0,8.0,2.0,4.0,6.0
Acinetobacter seifertii,1.0,2.0,1.0,0.0,2.0,4.0,4.0,5.0,2.0,1.0,0.0,1.0
Acinetobacter shaoyimingii,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter soli,2.0,1.0,0.0,1.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter sp. 10FS3-1,2.0,1.0,0.0,3.0,0.0,2.0,3.0,1.0,2.0,4.0,0.0,4.0
Acinetobacter sp. ACNIH1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter sp. ACNIH2,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0
Acinetobacter sp. C16S1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
Acinetobacter sp. LoGeW2-3,1.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
Acinetobacter sp. MYb10,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0
Acinetobacter sp. Marseille-Q1620,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0
Acinetobacter sp. NEB 394,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter sp. NEB149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Acinetobacter sp. TGL-Y2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Acinetobacter sp. TTH0-4,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter sp. WCHA45,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter sp. WCHAc010034,1.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
Acinetobacter sp. WCHAc010052,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0
Acinetobacter sp. YH12138,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Acinetobacter tandoii,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter towneri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Acinetobacter ursingii,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter venetianus,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
